facility_id,measure_code,measure_desc,recommend,ans_percent,rating,ed_score,sep_score,op_score,op18_score,label
300019,OP_22,Left before being seen,H_RECMND_DN,7,3,72.0,125.0,4.0,80.0,1
450690,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,0,4,45.0,125.0,22.0,80.0,1
310069,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,2,3,72.0,56.0,22.0,80.0,1
370173,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,74,3,36.0,125.0,22.0,80.0,0
110035,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,71,3,180.0,125.0,22.0,80.0,0
370214,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,31,3,72.0,83.0,22.0,80.0,1
100057,OP_22,Left before being seen,H_RECMND_DN,4,3,72.0,125.0,2.0,80.0,1
100211,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,8,2,77.0,125.0,22.0,80.0,1
190090,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,65,2,35.0,125.0,22.0,80.0,0
100026,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,64,3,72.0,125.0,22.0,133.0,0
50588,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,9,2,72.0,91.0,22.0,80.0,1
450400,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,6,3,72.0,69.0,22.0,80.0,1
270017,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,64,4,61.0,125.0,22.0,80.0,0
50040,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,4,2,72.0,125.0,22.0,293.0,1
10033,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,83,2,72.0,125.0,22.0,225.0,0
161342,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,1,3,72.0,83.0,22.0,80.0,1
390046,OP_22,Left before being seen,H_RECMND_DY,67,4,72.0,125.0,3.0,80.0,0
201310,OP_22,Left before being seen,H_RECMND_DN,4,4,72.0,125.0,83.0,80.0,1
180103,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,2,4,72.0,125.0,22.0,229.0,1
210024,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,5,5,137.0,125.0,22.0,80.0,1
180088,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,72,3,119.0,125.0,22.0,80.0,0
140217,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,7,3,72.0,65.0,22.0,80.0,1
150047,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,14,2,72.0,60.0,22.0,80.0,1
391306,OP_22,Left before being seen,H_RECMND_DY,81,4,72.0,125.0,83.0,80.0,0
521352,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,1,5,57.0,125.0,22.0,80.0,1
340155,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,4,5,194.0,125.0,22.0,80.0,1
171348,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,5,3,72.0,83.0,22.0,80.0,1
450596,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,58,4,94.0,125.0,22.0,80.0,0
151318,OP_22,Left before being seen,H_RECMND_DY,60,4,72.0,125.0,1.0,80.0,0
351329,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,31,3,72.0,125.0,22.0,60.0,0
161364,OP_22,Left before being seen,H_RECMND_DY,72,3,72.0,125.0,83.0,80.0,0
40088,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,7,3,72.0,125.0,22.0,80.0,1
161312,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,85,3,21.0,125.0,22.0,80.0,0
351326,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,99,3,72.0,125.0,22.0,95.0,0
390223,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,3,4,223.0,125.0,22.0,80.0,1
141347,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,88,3,83.0,125.0,22.0,80.0,0
10023,OP_22,Left before being seen,H_RECMND_DY,70,2,72.0,125.0,1.0,80.0,0
330246,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,4,3,72.0,76.0,22.0,80.0,1
120004,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,45,2,72.0,125.0,22.0,110.0,0
521347,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,77,5,72.0,83.0,22.0,80.0,0
241302,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,31,3,7.0,125.0,22.0,80.0,1
670073,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,84,3,72.0,83.0,22.0,80.0,0
381317,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,6,4,72.0,125.0,22.0,83.0,1
181318,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,71,3,83.0,125.0,22.0,80.0,0
180027,OP_22,Left before being seen,H_RECMND_DN,4,3,72.0,125.0,2.0,80.0,1
110015,OP_22,Left before being seen,H_RECMND_DN,2,4,72.0,125.0,2.0,80.0,1
320074,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,5,4,72.0,77.0,22.0,80.0,1
420027,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,63,3,108.0,125.0,22.0,80.0,0
151319,OP_22,Left before being seen,H_RECMND_DN,7,3,72.0,125.0,83.0,80.0,1
10065,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,7,3,72.0,125.0,22.0,110.0,1
70011,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,53,1,72.0,51.0,22.0,80.0,0
520160,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,71,4,45.0,125.0,22.0,80.0,0
110200,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,6,3,72.0,62.0,22.0,80.0,1
670069,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,2,3,72.0,83.0,22.0,80.0,1
30074,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,31,3,72.0,125.0,22.0,83.0,1
380061,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,82,5,72.0,32.0,22.0,80.0,0
171383,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,79,3,72.0,78.0,22.0,80.0,0
310096,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,70,3,184.0,125.0,22.0,80.0,0
281355,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,81,3,72.0,125.0,22.0,83.0,0
360087,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,78,5,72.0,58.0,22.0,80.0,0
223302,OP_22,Left before being seen,H_RECMND_DY,31,3,72.0,125.0,83.0,80.0,0
450537,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,5,2,72.0,39.0,22.0,80.0,1
50425,OP_22,Left before being seen,H_RECMND_DY,65,3,72.0,125.0,83.0,80.0,0
520088,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,2,4,73.0,125.0,22.0,80.0,1
390048,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,6,4,72.0,125.0,22.0,160.0,1
330162,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,82,2,72.0,82.0,22.0,80.0,0
50780,OP_22,Left before being seen,H_RECMND_DN,14,3,72.0,125.0,2.0,80.0,1
380033,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,8,3,72.0,125.0,22.0,174.0,1
241363,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,79,4,26.0,125.0,22.0,80.0,0
271346,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,31,3,72.0,83.0,22.0,80.0,1
171369,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,6,3,22.0,125.0,22.0,80.0,1
280020,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,65,3,72.0,65.0,22.0,80.0,0
370240,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,31,3,72.0,83.0,22.0,80.0,0
50295,OP_22,Left before being seen,H_RECMND_DY,71,1,72.0,125.0,1.0,80.0,0
330086,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,57,2,72.0,43.0,22.0,80.0,0
161315,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,31,3,72.0,83.0,22.0,80.0,1
130071,OP_22,Left before being seen,H_RECMND_DY,84,4,72.0,125.0,1.0,80.0,0
300029,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,71,3,132.0,125.0,22.0,80.0,0
281333,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,90,3,83.0,125.0,22.0,80.0,0
190050,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,65,3,72.0,46.0,22.0,80.0,0
431322,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,31,3,72.0,83.0,22.0,80.0,1
393304,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,31,3,83.0,125.0,22.0,80.0,1
360159,OP_22,Left before being seen,H_RECMND_DY,67,4,72.0,125.0,1.0,80.0,0
21308,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,8,3,72.0,125.0,22.0,83.0,1
180128,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,2,4,56.0,125.0,22.0,80.0,1
251333,OP_22,Left before being seen,H_RECMND_DY,31,3,72.0,125.0,83.0,80.0,0
370008,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,5,3,72.0,125.0,22.0,130.0,1
100265,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,4,4,72.0,125.0,22.0,162.0,1
400007,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,31,3,72.0,83.0,22.0,80.0,0
520078,OP_22,Left before being seen,H_RECMND_DY,67,3,72.0,125.0,1.0,80.0,0
330166,OP_22,Left before being seen,H_RECMND_DY,31,3,72.0,125.0,1.0,80.0,0
460039,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,80,4,60.0,125.0,22.0,80.0,0
410005,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,69,2,136.0,125.0,22.0,80.0,0
50775,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,78,5,158.0,125.0,22.0,80.0,0
461307,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,86,4,72.0,54.0,22.0,80.0,0
230019,OP_22,Left before being seen,H_RECMND_DY,70,5,72.0,125.0,2.0,80.0,0
241313,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,31,3,9.0,125.0,22.0,80.0,0
120005,OP_22,Left before being seen,H_RECMND_DN,4,3,72.0,125.0,1.0,80.0,1
360081,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,6,3,72.0,43.0,22.0,80.0,1
450639,OP_22,Left before being seen,H_RECMND_DN,6,3,72.0,125.0,1.0,80.0,1
380025,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,72,4,72.0,125.0,22.0,175.0,0
360032,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,71,4,72.0,72.0,22.0,80.0,0
50025,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,4,4,219.0,125.0,22.0,80.0,1
670071,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,2,5,83.0,125.0,22.0,80.0,1
250067,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,13,3,34.0,125.0,22.0,80.0,1
260023,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,4,4,72.0,125.0,22.0,170.0,1
460006,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,2,5,72.0,125.0,22.0,160.0,1
520028,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,2,5,56.0,125.0,22.0,80.0,1
190146,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,4,4,156.0,125.0,22.0,80.0,1
451320,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,31,3,72.0,125.0,22.0,95.0,1
380021,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,8,3,72.0,125.0,22.0,194.0,1
480001,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,56,2,206.0,125.0,22.0,80.0,0
490059,OP_22,Left before being seen,H_RECMND_DY,76,3,72.0,125.0,1.0,80.0,0
390058,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,4,3,72.0,69.0,22.0,80.0,1
271323,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,76,3,72.0,125.0,22.0,145.0,0
441307,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,2,4,45.0,125.0,22.0,80.0,1
390084,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,2,3,72.0,125.0,22.0,123.0,1
230005,OP_22,Left before being seen,H_RECMND_DY,61,4,72.0,125.0,1.0,80.0,0
381302,OP_22,Left before being seen,H_RECMND_DY,76,4,72.0,125.0,1.0,80.0,0
670041,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,6,3,72.0,57.0,22.0,80.0,1
351308,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,31,3,72.0,125.0,22.0,102.0,0
10022,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,10,3,55.0,125.0,22.0,80.0,1
31302,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,5,2,48.0,125.0,22.0,80.0,1
30064,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,70,3,157.0,125.0,22.0,80.0,0
110040,OP_22,Left before being seen,H_RECMND_DN,10,3,72.0,125.0,3.0,80.0,1
50739,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,58,4,72.0,90.0,22.0,80.0,0
220052,OP_22,Left before being seen,H_RECMND_DN,5,4,72.0,125.0,3.0,80.0,1
100161,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,68,2,72.0,70.0,22.0,80.0,0
51301,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,3,3,101.0,125.0,22.0,80.0,1
490118,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,4,4,72.0,125.0,22.0,123.0,1
191323,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,2,3,48.0,125.0,22.0,80.0,1
351321,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,4,3,7.0,125.0,22.0,80.0,1
250036,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,5,3,72.0,24.0,22.0,80.0,1
161321,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,31,3,72.0,83.0,22.0,80.0,0
20006,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,64,3,72.0,125.0,22.0,127.0,0
61320,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,81,3,83.0,125.0,22.0,80.0,0
320084,OP_22,Left before being seen,H_RECMND_DY,76,3,72.0,125.0,4.0,80.0,0
330393,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,6,4,116.0,125.0,22.0,80.0,1
100231,OP_22,Left before being seen,H_RECMND_DN,7,3,72.0,125.0,1.0,80.0,1
140252,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,74,4,72.0,125.0,22.0,158.0,0
100135,OP_22,Left before being seen,H_RECMND_DY,66,2,72.0,125.0,4.0,80.0,0
501311,OP_22,Left before being seen,H_RECMND_DN,31,3,72.0,125.0,83.0,80.0,1
130063,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,2,3,72.0,125.0,22.0,83.0,1
450347,OP_22,Left before being seen,H_RECMND_DY,54,1,72.0,125.0,4.0,80.0,0
241379,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,1,3,72.0,125.0,22.0,90.0,1
180005,OP_22,Left before being seen,H_RECMND_DN,9,1,72.0,125.0,5.0,80.0,1
330261,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,2,4,138.0,125.0,22.0,80.0,1
130028,OP_22,Left before being seen,H_RECMND_DY,63,5,72.0,125.0,1.0,80.0,0
100244,OP_22,Left before being seen,H_RECMND_DY,65,3,72.0,125.0,2.0,80.0,0
330208,OP_22,Left before being seen,H_RECMND_DY,66,3,72.0,125.0,2.0,80.0,0
